organism	gene	rank	peaktime	periodicity_pvalue	regulation_pvalue
9606	ENSP00000300093	1	93	3.348e-20	5.32548250668e-12
9606	ENSP00000380256	2	82	2.304e-21	8.3546220114754e-11
9606	ENSP00000211287	3	93	4.6629e-20	3.099937929088e-11
9606	ENSP00000216911	4	90	9.90288e-19	2.048852208975e-12
9606	ENSP00000316121	5	82	5.3847e-20	6.559566666444e-11
9606	ENSP00000414109	6	76	6.1848e-19	3.113518003533e-11
9606	ENSP00000265148	7	91	2.14083e-18	1.518266290356e-11
9606	ENSP00000348838	8	81	3.841644e-17	2.55263926176e-12
9606	ENSP00000300403	9	91	4.613175e-18	2.7705326010208e-10
9606	ENSP00000332455	10	85	3.451572e-17	5.0161356410688e-11
9606	ENSP00000260363	11	82	1.836765e-18	1.42872323651392e-09
9606	ENSP00000364976	12	92	2.937816e-18	1.08482045751541e-09
9606	ENSP00000355958	13	42	2.15631e-17	2.4431735075436e-10
9606	ENSP00000411532	14	81	3.3954864e-16	1.7551230242376e-11
9606	ENSP00000302530	15	92	2.13174e-18	2.88329938345218e-09
9606	ENSP00000306788	16	91	9.3746925e-17	6.6601456546086e-11
9606	ENSP00000378699	17	75	1.1521521e-15	8.921235552768e-12
9606	ENSP00000274026	18	84	8.933688e-18	2.0568787419648e-09
9606	ENSP00000355922	19	90	1.1358378e-17	1.66364090470287e-09
9606	ENSP00000247191	20	94	8.9802e-20	3.66465983783959e-07
9606	ENSP00000264552	21	96	2.387574e-18	1.8579968840798e-08
9606	ENSP00000271452	22	90	7.951392e-18	2.05417769017725e-08
9606	ENSP00000377492	23	90	9.06594624e-16	3.9158130495744e-10
9606	ENSP00000308450	24	94	5.1814098e-17	7.64668350483442e-09
9606	ENSP00000351052	25	91	6.77296575e-16	7.204241138382e-10
9606	ENSP00000453403	26	84	6.952176e-18	1.10921444666529e-07
9606	ENSP00000358397	27	81	7.69679892e-16	3.78495193568179e-09
9606	ENSP00000356096	28	81	7.69679892e-16	3.78495193568179e-09
9606	ENSP00000344242	29	92	1.2747915e-16	2.35498677419145e-08
9606	ENSP00000260731	30	81	2.0999538e-16	1.88261005125721e-08
9606	ENSP00000250056	31	92	2.14189596e-16	2.0926884819308e-08
9606	ENSP00000409370	32	82	2.36175732e-15	2.02493331137482e-09
9606	ENSP00000287598	33	87	1.8950778e-16	6.7349558625924e-08
9606	ENSP00000326550	34	87	3.292128e-17	4.0143972137282e-07
9606	ENSP00000268043	35	84	2.44646028e-15	5.98648764114225e-09
9606	ENSP00000262643	36	35	3.119482134e-15	5.77456563237624e-09
9606	ENSP00000344936	37	1	4.890168e-18	8.11653095552238e-06
9606	ENSP00000301633	38	94	4.87107e-19	0.000213877608406895
9606	ENSP00000260753	39	88	4.577851299e-15	6.16618447329231e-08
9606	ENSP00000209728	40	46	6.5582703e-17	5.46162949409834e-06
9606	ENSP00000335357	41	0	3.82459818e-16	1.74590364880782e-06
9606	ENSP00000265036	42	90	1.7400636e-15	7.89276515147107e-07
9606	ENSP00000368438	43	50	6.506325e-18	0.000271962429317259
9606	ENSP00000240423	44	82	2.087727333e-15	1.68963247930166e-06
9606	ENSP00000367638	45	84	8.300214e-17	4.71471067403204e-05
9606	ENSP00000414964	46	84	8.300214e-17	4.71471067403204e-05
9606	ENSP00000386348	47	96	7.04404998e-16	7.8342568127639e-06
9606	ENSP00000364405	48	39	7.3407380217e-14	7.60261987315871e-08
